Smpdt,Col Start,Col End,Ref Start,Ref End
202215,07/18/2022,07/31/2022,07/04/2022,07/17/2022
202216,08/01/2022,08/14/2022,07/18/2022,07/31/2022
202217,08/15/2022,08/28/2022,08/01/2022,08/14/2022
202218,08/29/2022,09/11/2022,08/15/2022,08/28/2022
202219,09/12/2022,09/25/2022,08/29/2022,09/11/2022
202220,09/26/2022,10/09/2022,09/12/2022,09/25/2022
202221,10/10/2022,10/23/2022,09/26/2022,10/09/2022
202222,10/24/2022,11/06/2022,10/10/2022,10/23/2022
202223,11/07/2022,11/20/2022,10/24/2022,11/06/2022
202224,11/21/2022,12/04/2022,11/07/2022,11/20/2022
202225,12/05/2022,12/18/2022,11/21/2022,12/04/2022
202226,12/19/2022,01/01/2023,12/05/2022,12/18/2022
202301,01/02/2023,01/15/2023,12/19/2022,01/01/2023
202302,01/16/2023,01/29/2023,01/02/2023,01/15/2023
202303,01/30/2023,02/12/2023,01/16/2023,01/29/2023
202304,02/13/2023,02/26/2023,01/30/2023,02/12/2023
202305,02/27/2023,03/12/2023,02/13/2023,02/26/2023
202306,03/13/2023,03/26/2023,02/27/2023,03/12/2023
202307,03/27/2023,04/09/2023,03/13/2023,03/26/2023
202308,04/10/2023,04/23/2023,03/27/2023,04/09/2023
202309,04/24/2023,05/07/2023,04/10/2023,04/23/2023
202310,05/08/2023,05/21/2023,04/24/2023,05/07/2023
202311,05/22/2023,06/04/2023,05/08/2023,05/21/2023
202312,06/05/2023,06/18/2023,05/22/2023,06/04/2023
202313,06/19/2023,07/02/2023,06/05/2023,06/18/2023
202314,07/03/2023,07/16/2023,06/19/2023,07/02/2023
202315,07/17/2023,07/30/2023,07/03/2023,07/16/2023
202316,07/31/2023,08/13/2023,07/17/2023,07/30/2023
202317,08/14/2023,08/27/2023,07/31/2023,08/13/2023
202318,08/28/2023,09/10/2023,08/14/2023,08/27/2023
202319,09/11/2023,09/24/2023,08/28/2023,09/10/2023
202320,09/25/2023,10/08/2023,09/11/2023,09/24/2023
202321,10/09/2023,10/22/2023,09/25/2023,10/08/2023
202322,10/23/2023,11/05/2023,10/09/2023,10/22/2023
202323,11/06/2023,11/19/2023,10/23/2023,11/05/2023
202324,11/20/2023,12/03/2023,11/06/2023,11/19/2023
202325,12/04/2023,12/17/2023,11/20/2023,12/03/2023
202326,12/18/2023,12/31/2023,12/04/2023,12/17/2023
202401,01/01/2024,01/14/2024,12/18/2023,12/31/2023
202402,01/15/2024,01/28/2024,01/01/2024,01/14/2024
202403,01/29/2024,02/11/2024,01/15/2024,01/28/2024
202404,02/12/2024,02/25/2024,01/29/2024,02/11/2024
202405,02/26/2024,03/10/2024,02/12/2024,02/25/2024
202406,03/11/2024,03/24/2024,02/26/2024,03/10/2024
202407,03/25/2024,04/07/2024,03/11/2024,03/24/2024
202408,04/08/2024,04/21/2024,03/25/2024,04/07/2024
202409,04/22/2024,05/05/2024,04/08/2024,04/21/2024
202410,05/06/2024,05/19/2024,04/22/2024,05/05/2024
202411,05/20/2024,06/02/2024,05/06/2024,05/19/2024
202412,06/03/2024,06/16/2024,05/20/2024,06/02/2024
202413,06/17/2024,06/30/2024,06/03/2024,06/16/2024
202414,07/01/2024,07/14/2024,06/17/2024,06/30/2024
202415,07/15/2024,07/28/2024,07/01/2024,07/14/2024
202416,07/29/2024,08/11/2024,07/15/2024,07/28/2024
202417,08/12/2024,08/25/2024,07/29/2024,08/11/2024
202418,08/26/2024,09/08/2024,08/12/2024,08/25/2024
202419,09/09/2024,09/22/2024,08/26/2024,09/08/2024
202420,09/23/2024,10/06/2024,09/09/2024,09/22/2024
202421,10/07/2024,10/20/2024,09/23/2024,10/06/2024
202422,10/21/2024,11/03/2024,10/07/2024,10/20/2024
202423,11/04/2024,11/17/2024,10/21/2024,11/03/2024
202424,11/18/2024,12/01/2024,11/04/2024,11/17/2024
202425,12/02/2024,12/15/2024,11/18/2024,12/01/2024
202426,12/16/2024,12/29/2024,12/02/2024,12/15/2024
202501,12/30/2024,01/12/2025,12/16/2024,12/29/2024
202502,01/13/2025,01/26/2025,12/30/2024,01/12/2025
202503,01/27/2025,02/09/2025,01/13/2025,01/26/2025
202504,02/10/2025,02/23/2025,01/27/2025,02/09/2025
202505,02/24/2025,03/09/2025,02/10/2025,02/23/2025
202506,03/10/2025,03/23/2025,02/24/2025,03/09/2025
202507,03/24/2025,04/06/2025,03/10/2025,03/23/2025
202508,04/07/2025,04/20/2025,03/24/2025,04/06/2025
202509,04/21/2025,05/04/2025,04/07/2025,04/20/2025
202510,05/05/2025,05/18/2025,04/21/2025,05/04/2025
202511,05/19/2025,06/01/2025,05/05/2025,05/18/2025
202512,06/02/2025,06/15/2025,05/19/2025,06/01/2025
202513,06/16/2025,06/29/2025,06/02/2025,06/15/2025
202514,06/30/2025,07/13/2025,06/16/2025,06/29/2025
